ANMOIS;MET_INTER_MET;MET_INTER_OM;MET_INTER_TOT;MET_INTAL_MC;MET_INTAL_LC;MET_INTAL_TOT;MET_ENS;DOM_ENS;FRA_ENS;;;;;;;;;;
202509;101,8;84,8;95,6;87,8;92,4;90,5;91,4;93,1;91,6;;;;;;;;;;
202508;131,3;116,5;126;131,4;107,1;116,9;118,4;112,9;118,2;;;;;;;;;;
202507;140,3;127,4;135,7;136,1;113,2;122,4;124,5;115,1;124,1;;;;;;;;;;
202506;135,5;93,4;119,9;103,7;95,3;98,7;102;104,9;102,3;;;;;;;;;;
202505;115,9;84,3;104,3;103,8;94,4;98,2;99,2;96,3;99,1;;;;;;;;;;
202504;114,2;99,1;108,8;123,1;103,5;111,4;111,1;94,7;110,2;;;;;;;;;;
202503;98,3;85,6;93,7;92,8;94,1;93,6;93,7;102;94,3;;;;;;;;;;
202502;104,4;97,1;101,9;98,4;96,5;97,2;98;91,9;97,8;;;;;;;;;;
202501;99,8;91,8;97;85,8;94,6;91,1;92;98,2;92,6;;;;;;;;;;
202412;113,2;110,7;112,5;109,4;104,8;106,6;107,6;105,9;107,6;;;;;;;;;;
202411;110,7;90,8;104;93;91,6;92,1;94;91,8;94;;;;;;;;;;
202410;112,1;100,5;108,3;108,8;102,6;105,1;105,7;95,2;105,3;;;;;;;;;;
202409;107,7;86,5;100,6;89,7;92,4;91,3;92,8;95,7;93;;;;;;;;;;
202408;132,3;111,5;125,3;130,6;106,8;116,4;117,8;110,6;117,6;;;;;;;;;;
202407;134,3;113,1;127,2;122;109,4;114,5;116,4;108,3;116,2;;;;;;;;;;
202406;118,4;93,4;110;98;94;95,6;97,8;99,5;98;;;;;;;;;;
202405;111;89,6;103,8;102,1;92,1;96,1;97,3;100,6;97,6;;;;;;;;;;
202404;105,7;101,9;104,5;114,3;98,3;104,7;104,8;97;104,5;;;;;;;;;;
202403;102,7;92,9;99,5;95,2;93;93,9;94,8;105,3;95,5;;;;;;;;;;
202402;104,6;103,1;104,2;97,4;93,4;95;96,5;102,4;96,9;;;;;;;;;;
202401;106,8;97,5;103,7;85,4;93,4;90,2;92,3;105,4;93;;;;;;;;;;
202312;101,5;110;104,6;100;100,2;100,1;100,9;110,6;101,5;;;;;;;;;;
202311;92,2;92,1;92,2;79,4;89,4;85,6;86,8;93,9;87,2;;;;;;;;;;
202310;100,4;99,9;100,2;98,3;102,2;100,7;100,6;94;100,2;;;;;;;;;;
202309;96,3;88;93,3;88;93,7;91,6;91,9;98,3;92,3;;;;;;;;;;
202308;120,7;118,3;119,9;130,7;109,8;117,6;118;111,4;117,6;;;;;;;;;;
202307;132,5;123,2;129,1;131;116,6;122;123,2;113,4;122,6;;;;;;;;;;
202306;111;93,9;104,8;101,3;99,3;100,1;100,9;101;100,9;;;;;;;;;;
202305;104,1;86;97,6;103,1;97,9;99,8;99,4;90,8;98,9;;;;;;;;;;
202304;97,3;97,6;97,4;115,8;103,3;108;106,1;91,5;105,2;;;;;;;;;;
202303;83,2;90,6;85,9;86,2;95,4;92;90,9;98,4;91,4;;;;;;;;;;
202302;82,9;101,6;89,7;90,8;96,2;94,2;93,4;97,8;93,7;;;;;;;;;;
202301;77,9;99;85,5;75,5;96;88,3;87,9;99;88,5;;;;;;;;;;
202212;90,5;107,7;96,7;100,1;105,8;103,7;102,5;106,3;102,7;;;;;;;;;;
202211;84,8;86,9;86,8;81,2;92,3;87,2;87,9;95,3;88,5;;;;;;;;;;
202210;86,4;93,3;89,7;100,1;97,9;99,9;97,6;87,7;96,7;;;;;;;;;;
202209;81,1;77,7;81,6;85,4;89,4;88;86,8;89,7;87;;;;;;;;;;
202208;105,5;102,6;106,5;131,8;108,4;121,8;118,1;100,2;116,4;;;;;;;;;;
202207;119;106;117,5;139;114;128,3;126,1;102,3;123,9;;;;;;;;;;
