ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo
200501;FMCZ;MAYOTTE-MARCEL HENRY;OM;17032;7211;7589;1210;16,8;85,5;329;8
200501;FMEE;LA REUNION-ROLAND GARROS;OM;186986;77081;87417;1432;630;1475,7;1205;59
200501;FMEP;ST-PIERRE-PIERREFONDS;OM;14590;6354;8221;0;0,1;1,4;340;0
200501;LFBD;BORDEAUX-MERIGNAC;MT;213396;104637;98979;935;404,2;480,3;3423;174
200501;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;10482;5709;4773;0;0;0;225;0
200501;LFBI;POITIERS-BIARD;MT;7650;3747;3225;678;0;0;240;0
200501;LFBL;LIMOGES-BELLEGARDE;MT;15707;7780;7141;12;45,7;31,6;373;40
200501;LFBO;TOULOUSE-BLAGNAC;MT;517999;237241;229114;4783;1675,6;3010,5;6089;518
200501;LFBP;PAU-PYRENEES;MT;58887;29793;27512;43;60,5;93,4;745;40
200501;LFBT;TARBES-LOURDES-PYRENEES;MT;4612;2377;2234;1;0;0;130;0
200501;LFBV;BRIVE-LA-ROCHE;MT;1636;843;771;22;0;0;94;0
200501;LFBX;PERIGUEUX-BASSILLAC;MT;2095;674;666;755;0;0;235;0
200501;LFBZ;BIARRITZ-PAYS-BASQUE;MT;55186;28951;26121;3;5,8;5,3;741;0
200501;LFCK;CASTRES-MAZAMET;MT;1441;756;685;0;0;0;166;0
200501;LFCR;RODEZ-AVEYRON;MT;8935;4800;3989;146;0;0;339;0
200501;LFDN;ROCHEFORT-CHARENTE-MARITIME;MT;4225;2223;1995;7;0;0;130;0
200501;LFGJ;DOLE-TAVAUX;MT;1304;21;10;0;77,3;50;6;36
200501;LFJL;METZ-NANCY-LORRAINE;MT;20581;9605;9333;660;61;37,4;714;43
200501;LFKB;BASTIA-PORETTA;MT;54189;23629;21404;2588;216,1;440,7;670;176
200501;LFKC;CALVI-STE-CATHERINE;MT;5702;3232;2456;0;0;1,4;178;0
200501;LFKF;FIGARI-SUD-CORSE;MT;8314;4527;3786;1;0;0;246;0
200501;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;50465;23834;21731;0;101,6;388,4;698;101
200501;LFLB;CHAMBERY-AIX-LES-BAINS;MT;55300;27480;27734;86;0;0;759;2
200501;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;46891;21669;21386;652;141,2;177,2;1794;76
200501;LFLL;LYON-ST-EXUPERY;MT;542511;257052;252547;6648;1207,2;1419,3;9741;399
200501;LFLP;ANNECY-MEYTHET;MT;4261;2103;2158;0;0;0;184;0
200501;LFLS;GRENOBLE-ALPES-ISERE;MT;52478;25918;26560;0;0;0;447;0
200501;LFLW;AURILLAC;MT;1121;609;512;0;0;0;90;0
