ANMOIS;CIE;CIE_NOM;CIE_NAT;CIE_PAYS;CIE_PAX;CIE_FRP;CIE_PEQ;CIE_PKT;CIE_TKT;CIE_PEQKT;CIE_VOL
201701;AAF;AIGLE AZUR;F;FRANCE;134833;98,4;135817;0,191;0,0001;0,192;1216
201701;AAL;AMERICAN AIRLINES;E;ETATS-UNIS;47556;2943;76986;0,32;0,0196;0,516;272
201701;AAR;ASIANA AIRLINES;E;COREE DU SUD;12297;1140,8;23705;0,11;0,0102;0,212;44
201701;ABR;ASL AIRLINES IRELAND;E;IRLANDE;0;1732,1;17321;0;0,0014;0,014;444
201701;ABW;AIRBRIDGE CARGO AIRLINES;E;RUSSIE (FED. DE);0;3569,9;35699;0;0,0081;0,081;35
201701;ACA;AIR CANADA;E;CANADA;41447;2035,7;61804;0,238;0,0117;0,355;158
201701;ACI;AIRCALIN;F;FRANCE (OM);46745;401,4;50759;0,181;0,002;0,201;385
201701;AEA;AIR EUROPA;E;ESPAGNE;85679;105;86729;0,102;0,0001;0,103;592
201701;AEE;AEGEAN AIRLINES;E;GRECE;22952;143,8;24390;0,05;0,0003;0,053;169
201701;AFL;AEROFLOT;E;RUSSIE (FED. DE);50775;521,7;55992;0,133;0,0013;0,146;473
201701;AFR;AIR FRANCE;F;FRANCE;3500897;41599,4;3916891;11,331;0,2999;14,33;25343
201701;AIC;AIR INDIA;E;INDE;14473;468,4;19157;0,095;0,0031;0,126;62
201701;AMX;AEROMEXICO;E;MEXIQUE;15148;552,9;20677;0,139;0,0051;0,19;65
201701;ANA;ANA ALL NIPPON AIRWAYS;E;JAPON;9367;1246;21827;0,091;0,0121;0,212;62
201701;ANE;AIR NOSTRUM;E;ESPAGNE;38941;0;38941;0,029;0;0,029;821
201701;ASL;AIR SERBIA;E;SERBIE;11876;54,7;12423;0,017;0,0001;0,018;120
201701;AUA;AUSTRIAN AIRLINES;E;AUTRICHE;28388;118;29568;0,027;0,0001;0,028;320
201701;AUI;UKRAINE INTL AIRLINES;E;UKRAINE;14376;49,3;14869;0,029;0,0001;0,03;117
201701;AWC;TITAN AIRWAYS;E;ROYAUME-UNI;11956;7,9;12035;0,01;0;0,01;76
201701;AZA;ALITALIA;E;ITALIE;89451;87,8;90329;0,099;0,0001;0,1;896
201701;BAW;BRITISH AIRWAYS;E;ROYAUME-UNI;184697;382,2;188519;0,129;0,0001;0,13;1745
201701;BCS;EAT/EUROPEAN AIR TRANSP;E;ALLEMAGNE;0;11324,7;113247;0;0,0093;0,093;609
201701;BEE;FLYBE;E;ROYAUME-UNI;70480;3,8;70518;0,044;0;0,044;1256
201701;BEL;BRUSSELS AIRLINES;E;BELGIQUE;64448;10,9;64557;0,041;0;0,041;910
201701;BER;AIR BERLIN;E;ALLEMAGNE;21603;0,5;21608;0,027;0;0,027;201
201701;BGA;AIRBUS TRANSPORT INTL;F;FRANCE;0;5870,8;58708;0;0,0056;0,056;307
201701;BMS;BLUE AIR;E;ROUMANIE;13023;0;13023;0,023;0;0,023;94
201701;CCA;AIR CHINA INTL;E;CHINE;30022;2711;57132;0,254;0,0226;0,48;122
201701;CCM;AIR CORSICA;F;FRANCE;103656;161,5;105271;0,056;0,0001;0,057;1378
201701;CES;CHINA EASTERN AIRLINES;E;CHINE;26780;2433,8;51118;0,246;0,0225;0,471;132
201701;CKS;KALITTA AIR;E;ETATS-UNIS;0;1208,3;12083;0;0,0064;0,064;19
201701;CPA;CATHAY PACIFIC;E;HONG KONG (CHINE);23279;5309,5;76374;0,223;0,0495;0,718;106
201701;CRL;CORSAIR;F;FRANCE;110600;946,2;120062;0,799;0,0067;0,866;358
201701;CSA;CSA CZECH AIRLINES;E;TCHEQUIE;20271;49,2;20763;0,017;0;0,017;211
201701;CSN;CHINA SOUTHERN AIRLINES;E;CHINE;10805;1257,9;23384;0,102;0,0119;0,221;55
201701;DAH;AIR ALGERIE;E;ALGERIE;190151;1430,3;204454;0,229;0,0019;0,248;1775
201701;DAL;DELTA AIR LINES;E;ETATS-UNIS;112898;5212,6;165024;0,766;0,035;1,116;572
201701;DLH;LUFTHANSA;E;ALLEMAGNE;207379;1509,3;222472;0,143;0,0009;0,152;2612
201701;EIN;AER LINGUS;E;IRLANDE;53825;48,6;54311;0,047;0;0,047;410
201701;ELY;EL AL;E;ISRAEL;28073;592,4;33997;0,09;0,0019;0,109;190
201701;ETD;ETIHAD AIRWAYS;E;EMIRATS ARABES UNIS;35880;4218,8;78068;0,189;0,022;0,409;133
201701;ETH;ETHIOPIAN AIRLINES;E;ETHIOPIE;10100;316,2;13262;0,056;0,0011;0,067;126
201701;EVA;EVA AIR;E;TAIWAN;13419;1686,6;30285;0,131;0,0165;0,296;56
201701;EWG;EUROWINGS;E;ALLEMAGNE;53497;0;53497;0,035;0;0,035;725
201701;EZS;EASYJET SWITZERLAND;E;SUISSE;234827;0;234827;0,213;0;0,213;1606
201701;EZY;EASYJET UK;E;ROYAUME-UNI;1043785;0;1043785;0,871;0;0,871;7451
201701;FDX;FEDEX EXPRESS;E;ETATS-UNIS;0;39304,9;393049;0;0,1451;1,451;922
201701;FIN;FINNAIR;E;FINLANDE;31997;388,9;35886;0,061;0,0007;0,068;312
201701;FPO;ASL AIRLINES FRANCE;F;FRANCE;6358;4093,4;47292;0,015;0,0023;0,038;437
201701;FWI;AIR CARAIBES;F;FRANCE (OM);148373;1179,3;160166;0,814;0,0081;0,895;1151
201701;GMI;GERMANIA;E;ALLEMAGNE;18312;9,8;18410;0,021;0;0,021;160
201701;GUY;CAIRE - AIR GUYANE EXPRESS;F;FRANCE (OM);26962;67,3;27635;0,007;0;0,007;1688
201701;HOP;AIR FRANCE HOP!;F;FRANCE;321967;0,2;321969;0,178;0;0,178;6253
201701;HVN;VIETNAM AIRLINES;E;VIETNAM;23610;1700,9;40619;0,225;0,0161;0,386;88
201701;IBE;IBERIA;E;ESPAGNE;47053;20,4;47257;0,05;0;0,05;326
201701;IBS;IBERIA EXPRESS;E;ESPAGNE;21557;181,9;23376;0,02;0,0002;0,022;180
201701;ICE;ICELANDAIR;E;ISLANDE;13542;106,3;14605;0,03;0,0002;0,032;102
201701;JAF;TUIFLY BELGIUM;E;BELGIQUE;63886;155,1;65437;0,131;0,0003;0,134;487
201701;JAI;JET AIRWAYS INDIA;E;INDE;16731;1158,9;28320;0,117;0,0081;0,198;63
201701;JAL;JAPAN AIRLINES;E;JAPON;17221;1242,2;29643;0,167;0,0121;0,288;82
201701;KAL;KOREAN AIR;E;COREE DU SUD;22145;2141,2;43557;0,198;0,0191;0,389;84
201701;KLC;KLM/CITYHOPPER;E;PAYS-BAS;50533;4,5;50578;0,043;0;0,043;635
201701;KLM;KLM;E;PAYS-BAS;66132;154,5;67677;0,034;0,0001;0,035;556
201701;KQA;KENYA AIRWAYS;E;KENYA;12067;515,3;17220;0,073;0,0033;0,106;95
201701;LBT;NOUVELAIR;E;TUNISIE;28799;6,2;28861;0,042;0;0,042;195
201701;LGL;LUXAIR;E;LUXEMBOURG;11187;0;11187;0,005;0;0,005;251
201701;LOT;LOT POLISH AIRLINES;E;POLOGNE;13472;107,7;14549;0,018;0,0001;0,019;215
201701;MAC;AIR ARABIA MAROC;E;MAROC;25165;6,8;25233;0,038;0;0,038;256
201701;MAU;AIR MAURITIUS;E;MAURICE;59238;782,8;67066;0,172;0,0051;0,223;369
201701;MEA;MIDDLE EAST AIRLINES;E;LIBAN;25806;465,9;30465;0,082;0,0015;0,097;124
201701;MNB;MNG AIRLINES;E;TURQUIE;0;1423,3;14233;0;0,0019;0,019;39
201701;MON;MONARCH AIRLINES;E;ROYAUME-UNI;12220;0;12220;0,011;0;0,011;94
201701;MSR;EGYPT AIR;E;EGYPTE;14887;1038,1;25268;0,048;0,0033;0,081;62
201701;NAX;NORWEGIAN;E;NORVEGE;76258;464,3;80901;0,233;0,0035;0,268;492
201701;NPT;ATLANTIC AIRLINES UK;E;ROYAUME-UNI;0;1662,4;16624;0;0,0009;0,009;174
201701;OMA;OMAN AIR;E;OMAN;13027;1262,6;25653;0,073;0,0071;0,144;62
201701;PGT;PEGASUS;E;TURQUIE;42635;28,5;42920;0,09;0,0001;0,091;312
201701;QTR;QATAR AIRWAYS;E;QATAR;64100;3520,8;99308;0,319;0,0174;0,493;218
