ANMOIS;LSN_SEG;LSN_FSC;LSN_1;LSN_2;LSN_2_CONT;LSN_PEQ;LSN_PEQKT;LSN_PAX;LSN_PKT;LSN_FRP;LSN_TKT;LSN_DRT
200501;INTL;MET_INTL;MÉTROPOLE;AFRIQUE DU SUD;AFRIQUE;32893;287684801,8;26611;232739806;628,2;5494499,58;86
200501;INTL;MET_INTL;MÉTROPOLE;AFRIQUE_AUTRE;AFRIQUE;22902;123587203,3;18380;99220863;452,2;2436634,03;175
200501;INTL;MET_INTL;MÉTROPOLE;ALGÉRIE;AFRIQUE;170310;213490509,3;156682;195159277;1362,8;1833123,23;1539
200501;INTL;MET_INTL;MÉTROPOLE;ALLEMAGNE;EUROPE;551558;341584576,67;448991;281003806;10256,5;6058077,067;9905
200501;INTL;MET_INTL;MÉTROPOLE;AMÉRIQUE_AUTRE;AMÉRIQUE;3277;32138099,26;1106;8302573;217,1;2383552,626;19
200501;INTL;MET_INTL;MÉTROPOLE;ARABIE SAOUDITE;ASIE;28637;126562460,33;17600;75862293;1103,7;5070016,733;202
200501;INTL;MET_INTL;MÉTROPOLE;ARGENTINE;AMÉRIQUE;19140;212699041,58;9244;102728572;989,6;10997046,958;77
200501;INTL;MET_INTL;MÉTROPOLE;ASIE_AUTRE;ASIE;12006;68754497,34;7723;41579532;428,3;2717496,534;107
200501;INTL;MET_INTL;MÉTROPOLE;AUTRICHE;EUROPE;48191;47318480,26;44634;43644698;355,7;367378,226;1013
200501;INTL;MET_INTL;MÉTROPOLE;BELGIQUE;EUROPE;80475;52913335,03;51649;36856831;2882,5;1605650,403;1727
200501;INTL;MET_INTL;MÉTROPOLE;BENIN;AFRIQUE;9801;46531315,28;7053;33484476;274,8;1304683,928;46
200501;INTL;MET_INTL;MÉTROPOLE;BRÉSIL;AMÉRIQUE;115569;1075744486,89;72234;668633013;4333,5;40711147,389;446
200501;INTL;MET_INTL;MÉTROPOLE;BULGARIE;EUROPE;8534;15184789,64;7390;12984906;114,4;219988,364;105
200501;INTL;MET_INTL;MÉTROPOLE;BURKINA FASO;AFRIQUE;14156;57489549,43;10438;42327311;371,8;1516223,843;102
200501;INTL;MET_INTL;MÉTROPOLE;CAMEROUN;AFRIQUE;22894;115938877,85;16024;81154925;687;3478395,285;151
200501;INTL;MET_INTL;MÉTROPOLE;CANADA;AMÉRIQUE;108413;615855828,34;77737;441009291;3067,6;17484653,734;353
200501;INTL;MET_INTL;MÉTROPOLE;CHILI;AMÉRIQUE;8769;102482714,2;6700;78296200;206,9;2418651,42;61
200501;INTL;MET_INTL;MÉTROPOLE;CHINE;ASIE;121619;1086216643,04;63312;560776930;5830,7;52543971,304;443
200501;INTL;MET_INTL;MÉTROPOLE;CHYPRE;EUROPE;6088;18155737,68;5157;15380558;93,1;277517,968;45
200501;INTL;MET_INTL;MÉTROPOLE;COLOMBIE;AMÉRIQUE;12733;110203855,35;10330;89406150;240,3;2079770,535;45
200501;INTL;MET_INTL;MÉTROPOLE;CONGO-BRAZZAVILLE (RÉP.);AFRIQUE;7609;45949060,2;6052;36656480;155,7;929258,02;69
200501;INTL;MET_INTL;MÉTROPOLE;CORÉE DU SUD;ASIE;44150;394733650,69;22649;202595305;2150,1;19213834,569;129
200501;INTL;MET_INTL;MÉTROPOLE;"CÔTE D'IVOIRE";AFRIQUE;10092;49433773,2;6586;32240694;350,6;1719307,92;48
200501;INTL;MET_INTL;MÉTROPOLE;CROATIE;EUROPE;5685;6171941,2;5125;5566828;56;60511,32;66
200501;INTL;MET_INTL;MÉTROPOLE;CUBA;AMÉRIQUE;37403;288704609,81;34739;268101095;266,4;2060351,481;113
200501;INTL;MET_INTL;MÉTROPOLE;DANEMARK;EUROPE;79356;83756243,55;74624;79128334;473,2;462790,955;1430
200501;INTL;MET_INTL;MÉTROPOLE;DOMINICAINE (RÉP.);AMÉRIQUE;81270;579195920,38;77628;553220953;364,2;2597496,738;245
200501;INTL;MET_INTL;MÉTROPOLE;EGYPTE;AFRIQUE;116916;390699857,87;89002;301070010;2791,4;8962984,787;676
200501;INTL;MET_INTL;MÉTROPOLE;EMIRATS ARABES UNIS;ASIE;103004;538331172,32;38807;202633791;6419,7;33569738,132;391
200501;INTL;MET_INTL;MÉTROPOLE;ESPAGNE;EUROPE;395325;423854391,03;365197;393665891;3012,7;3018850,003;6864
200501;INTL;MET_INTL;MÉTROPOLE;ETATS-UNIS;AMÉRIQUE;795826;5415411022,99;403786;2749875932;39204;266553509,099;2558
200501;INTL;MET_INTL;MÉTROPOLE;EUROPE_AUTRE;EUROPE;25347;59335689,8;19512;40104553;583,5;1923113,68;1707
200501;INTL;MET_INTL;MÉTROPOLE;FINLANDE;EUROPE;32164;66244019,54;30154;62428603;201;381541,654;298
200501;INTL;MET_INTL;MÉTROPOLE;GABON;AFRIQUE;13372;72570525,03;9696;52583750;367,6;1998677,503;73
200501;INTL;MET_INTL;MÉTROPOLE;GRÈCE;EUROPE;45328;95431191,5;42226;88884815;310,2;654637,65;492
200501;INTL;MET_INTL;MÉTROPOLE;GUINÉE (CONAKRY);AFRIQUE;8372;38845012,8;5536;25687040;283,6;1315797,28;50
200501;INTL;MET_INTL;MÉTROPOLE;HONG KONG (CHINE);ASIE;93449;897114048;36608;351436800;5684,1;54567724,8;217
200501;INTL;MET_INTL;MÉTROPOLE;HONGRIE;EUROPE;27341;34168403,59;27149;33927459;19,2;24094,459;512
200501;INTL;MET_INTL;MÉTROPOLE;INDE;ASIE;95133;662226534,91;47653;324104644;4748;33812189,091;385
200501;INTL;MET_INTL;MÉTROPOLE;IRAN;ASIE;9108;38236793,57;5673;23809089;343,5;1442770,457;48
200501;INTL;MET_INTL;MÉTROPOLE;IRLANDE;EUROPE;104280;92189403,3;88414;79336577;1586,6;1285282,63;1084
200501;INTL;MET_INTL;MÉTROPOLE;ISRAËL;ASIE;54268;178253550,84;40272;132256554;1399,6;4599699,684;266
200501;INTL;MET_INTL;MÉTROPOLE;ITALIE;EUROPE;459160;374051184,99;415033;344394570;4412,7;2965661,499;6356
200501;INTL;MET_INTL;MÉTROPOLE;JAPON;ASIE;141215;1368799157,74;94414;915083416;4680,1;45371574,174;462
200501;INTL;MET_INTL;MÉTROPOLE;JORDANIE;ASIE;11704;39403456,6;8602;28966438;310,2;1043701,86;90
200501;INTL;MET_INTL;MÉTROPOLE;KAZAKHSTAN;EUROPE;8641;46315141,64;0;0;864,1;4631514,164;17
200501;INTL;MET_INTL;MÉTROPOLE;KENYA;AFRIQUE;16998;111310429,79;6394;42344654;1060,4;6896577,579;63
200501;INTL;MET_INTL;MÉTROPOLE;KOWEÏT;ASIE;5456;24057255,6;2538;11192580;291,8;1286467,56;64
200501;INTL;MET_INTL;MÉTROPOLE;LIBAN;ASIE;30441;97091460,98;26230;83651671;421,1;1343978,998;199
200501;INTL;MET_INTL;MÉTROPOLE;LIBYE;AFRIQUE;7047;14440757,81;4294;8993030;275,3;544772,781;100
200501;INTL;MET_INTL;MÉTROPOLE;LUXEMBOURG;EUROPE;11656;3750829,24;11633;3744544;2,3;628,524;354
200501;INTL;MET_INTL;MÉTROPOLE;MADAGASCAR;AFRIQUE;19904;174282625,23;13960;122227585;594,4;5205504,023;103
200501;INTL;MET_INTL;MÉTROPOLE;MALAISIE;ASIE;19576;203220339,38;11499;120199047;807,7;8302129,238;56
200501;INTL;MET_INTL;MÉTROPOLE;MALI;AFRIQUE;18120;73787392,75;15613;63320793;250,7;1046659,975;108
200501;INTL;MET_INTL;MÉTROPOLE;MAROC;AFRIQUE;245063;468039883,42;228164;435971378;1689,9;3206850,542;2242
200501;INTL;MET_INTL;MÉTROPOLE;MAURICE;AFRIQUE;58572;553908410,77;44707;422790794;1386,5;13111761,677;146
200501;INTL;MET_INTL;MÉTROPOLE;MAURITANIE;AFRIQUE;11848;42848948,82;9818;35425369;203;742357,982;117
200501;INTL;MET_INTL;MÉTROPOLE;MEXIQUE;AMÉRIQUE;66149;594189581,62;44904;398782874;2124,5;19540670,762;190
200501;INTL;MET_INTL;MÉTROPOLE;NIGER;AFRIQUE;6137;23037277;4590;16918892;154,7;611838,5;61
200501;INTL;MET_INTL;MÉTROPOLE;NIGERIA;AFRIQUE;24528;116682483,96;16619;79279074;790,9;3740340,996;99
200501;INTL;MET_INTL;MÉTROPOLE;NORVÈGE;EUROPE;26580;37009726,02;25336;35368633;124,4;164109,302;410
200501;INTL;MET_INTL;MÉTROPOLE;OUGANDA;AFRIQUE;8314;50465918,22;3;18468;831,1;5044745,022;17
200501;INTL;MET_INTL;MÉTROPOLE;PAKISTAN;ASIE;8684;52553765,48;2911;17546258;577,3;3500750,748;59
200501;INTL;MET_INTL;MÉTROPOLE;PAYS-BAS;EUROPE;142708;86357411,64;135654;83489652;705,4;286775,964;2423
200501;INTL;MET_INTL;MÉTROPOLE;PAYS-BAS (CARAÏBES);AMÉRIQUE;19759;133261516,84;17494;117984274;226,5;1527724,284;80
200501;INTL;MET_INTL;MÉTROPOLE;PHILIPPINES;ASIE;17191;183470035,84;0;0;1719,1;18347003,584;25
200501;INTL;MET_INTL;MÉTROPOLE;POLOGNE;EUROPE;41288;54893325,29;39311;52237565;197,7;265576,029;717
200501;INTL;MET_INTL;MÉTROPOLE;PORTUGAL;EUROPE;136667;185216135,75;124072;167764113;1259,5;1745202,275;1943
200501;INTL;MET_INTL;MÉTROPOLE;QATAR;ASIE;14724;73224540,66;9435;46920255;528,9;2630428,566;79
200501;INTL;MET_INTL;MÉTROPOLE;ROUMANIE;EUROPE;21797;40104869,49;20805;38266082;99,2;183878,749;283
200501;INTL;MET_INTL;MÉTROPOLE;ROYAUME-UNI;EUROPE;886449;628588976,16;844514;608711532;4193,5;1987744,416;11641
200501;INTL;MET_INTL;MÉTROPOLE;RUSSIE (FÉD. DE);EUROPE;74411;179483108,63;72331;174656516;208;482659,263;893
200501;INTL;MET_INTL;MÉTROPOLE;SÉNÉGAL;AFRIQUE;81930;340943238,98;65767;272732739;1616,3;6821049,998;535
200501;INTL;MET_INTL;MÉTROPOLE;SERBIE;EUROPE;7196;10065517,5;6616;9239365;58;82615,25;99
200501;INTL;MET_INTL;MÉTROPOLE;SEYCHELLES;AFRIQUE;8986;70605780,18;7532;59186456;145,4;1141932,418;44
200501;INTL;MET_INTL;MÉTROPOLE;SINGAPOUR;ASIE;56888;610680656,8;35182;377678770;2170,6;23300188,68;124
200501;INTL;MET_INTL;MÉTROPOLE;SLOVAQUIE;EUROPE;5422;5932462,92;5417;5927709;0,5;475,392;75
200501;INTL;MET_INTL;MÉTROPOLE;SLOVÉNIE;EUROPE;7377;6993607,25;6724;6376664;65,3;61694,325;228
200501;INTL;MET_INTL;MÉTROPOLE;SRI LANKA;ASIE;16179;137406463,47;5078;43127454;1110,1;9427900,947;40
200501;INTL;MET_INTL;MÉTROPOLE;SUÈDE;EUROPE;69457;103254263,92;57913;85473839;1154,4;1778042,492;811
200501;INTL;MET_INTL;MÉTROPOLE;SUISSE;EUROPE;175926;73372778,88;169802;70540974;612,4;283180,488;3088
200501;INTL;MET_INTL;MÉTROPOLE;SYRIE;ASIE;7338;23780781,59;6390;20682114;94,8;309866,759;98
200501;INTL;MET_INTL;MÉTROPOLE;TAIWAN;ASIE;9899;96973346,88;6034;59109064;386,5;3786428,288;29
200501;INTL;MET_INTL;MÉTROPOLE;TCHÉQUIE;EUROPE;38438;32897233,67;37011;31675789;142,7;122144,467;655
200501;INTL;MET_INTL;MÉTROPOLE;THAÏLANDE;ASIE;51891;489334581,8;34163;322157090;1772,8;16717749,18;153
